Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB(Total),AST,TOV,STL,BLK,BLK(Against),PF,PF(Drawn),+/-,YR,CHAMP
Golden State Warriors,82,73,9,0.89,48.5,114.9,42.5,87.3,48.7,13.1,31.6,41.6,16.7,21.8,76.3,10,36.2,46.2,28.9,15.2,8.4,6.1,4.1,20.7,19.8,10.8,2016,0
Oklahoma City Thunder,82,68,14,0.83,48.1,120.5,44.6,92.7,48.2,14.5,38.8,37.4,16.7,20.4,81.9,10.6,34.2,44.8,26.9,11.7,10.3,5.7,4.8,19.9,18.1,12.9,2025,1
Golden State Warriors,82,67,15,0.82,48.2,115.9,43.1,87.1,49.5,12,31.2,38.3,17.8,22.6,78.8,9.4,35,44.4,30.4,14.8,9.6,6.8,3.8,19.3,19.4,11.6,2017,1
San Antonio Spurs,82,67,15,0.82,48.1,103.5,40.1,82.9,48.4,7,18.5,37.5,16.4,20.4,80.3,9.4,34.5,43.9,24.5,13.1,8.3,5.9,3.9,17.5,19.5,10.6,2016,0
Houston Rockets,82,65,17,0.79,48.2,112.4,38.7,84.2,46,15.3,42.3,36.2,19.6,25.1,78.1,9,34.5,43.5,21.5,13.8,8.5,4.8,4.4,19.5,20.4,8.5,2018,0
Boston Celtics,82,64,18,0.78,48.4,120.6,43.9,90.2,48.7,16.5,42.5,38.8,16.3,20.2,80.7,10.7,35.6,46.3,26.9,11.9,6.8,6.6,3.7,16.2,17.3,11.3,2024,1
Cleveland Cavaliers,82,64,18,0.78,48.2,121.9,44.5,90.8,49.1,15.9,41.5,38.3,17,21.9,77.6,11.2,34.2,45.4,28.1,13.2,8.2,4.3,4.4,18.1,18.9,9.5,2025,0
Phoenix Suns,82,64,18,0.78,48.1,114.8,43.7,90.1,48.5,11.6,31.9,36.4,15.9,19.9,79.7,9.8,35.5,45.3,27.4,12.9,8.6,4.4,4,19.9,18.9,7.5,2022,0
Boston Celtics,82,61,21,0.74,48.4,116.3,41.6,90,46.2,17.8,48.2,36.8,15.3,19.1,79.9,11.4,33.9,45.3,26.1,11.9,7.2,5.5,3.6,15.9,17.5,9.1,2025,0
San Antonio Spurs,82,61,21,0.74,48.3,105.3,39.3,83.7,46.9,9.2,23.5,39.1,17.6,22,79.7,10,33.9,43.9,23.8,13.4,8,5.9,4.1,18.3,19.8,7.2,2017,0
Milwaukee Bucks,82,60,22,0.73,48.2,118.1,43.4,91.1,47.6,13.5,38.2,35.3,17.9,23.2,77.3,9.3,40.4,49.7,26,13.9,7.5,5.9,4.8,19.6,20.2,8.9,2019,0
Toronto Raptors,82,59,23,0.72,48.4,111.7,41.3,87.4,47.2,11.8,33,35.8,17.3,21.8,79.4,9.8,34.2,44,24.3,13.4,7.6,6.1,4.9,21.7,19.9,7.8,2018,0
Golden State Warriors,82,58,24,0.71,48.1,113.5,42.8,85.1,50.3,11.3,28.9,39.1,16.6,20.3,81.5,8.4,35.1,43.5,29.3,15.4,8,7.5,3.7,19.6,18.5,6,2018,1
Milwaukee Bucks,82,58,24,0.71,48.4,116.9,42.7,90.4,47.3,14.8,40.3,36.8,16.6,22.4,74.3,11.1,37.5,48.6,25.8,14.6,6.4,4.9,3.9,18.1,19,3.6,2023,0
Toronto Raptors,82,58,24,0.71,48.5,114.4,42.2,89.1,47.4,12.4,33.8,36.6,17.7,22,80.4,9.6,35.6,45.2,25.4,14,8.3,5.3,4.5,21,20.5,6.1,2019,1
Boston Celtics,82,57,25,0.69,48.7,117.9,42.2,88.8,47.5,16,42.6,37.7,17.5,21.6,81.2,9.7,35.6,45.3,26.7,13.4,6.4,5.2,3.9,18.8,19.1,6.5,2023,0
Cleveland Cavaliers,82,57,25,0.69,48.4,104.3,38.7,84,46,10.7,29.6,36.2,16.3,21.7,74.8,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,6,2016,1
Denver Nuggets,82,57,25,0.69,48.1,114.9,44,88.8,49.6,11.7,31.2,37.4,15.1,19.9,76.2,10.7,33.7,44.4,29.5,12.6,7.1,5.6,4.8,18.2,17.9,5.3,2024,0
Golden State Warriors,82,57,25,0.69,48.3,117.7,44,89.8,49.1,13.3,34.4,38.5,16.3,20.4,80.1,9.7,36.5,46.2,29.4,14.3,7.6,6.4,3.6,21.4,19.5,6.5,2019,0
Oklahoma City Thunder,82,57,25,0.69,48.3,120.1,44.5,89.3,49.9,13.3,34.2,38.9,17.7,21.5,82.5,8.8,33.2,42,27.1,12.7,8.5,6.6,5.1,18.8,18.9,7.4,2024,0
Memphis Grizzlies,82,56,26,0.68,48.2,115.6,43.5,94.4,46.1,11.5,32.7,35.3,17,23.1,73.4,14.1,35,49.2,26,13.2,9.8,6.5,6,19.8,19.8,5.7,2022,0
Milwaukee Bucks,73,56,17,0.77,48.2,118.7,43.3,90.9,47.6,13.8,38.9,35.5,18.3,24.7,74.2,9.5,42.2,51.7,25.9,15.1,7.2,5.9,4.5,19.6,21.7,10.1,2020,0
